earnings before interest,582
Norway Royal Salmon,481
Norwegian salmon prices,402
Oslo Stock Exchange,368
land-based salmon farmer,256
land-based salmon farm,239
land-based salmon farming,238
Chilean salmon farmer,229
period last year,206
kilo on average,198
Norwegian salmon farmer,193
Scottish Salmon Company,188
year on year,178
quarter last year,176
Scottish Sea Farms,166
salmon farming industry,165
Earnings before interest,165
EBIT per kilo,154
New Zealand King,140
Zealand King Salmon,140
Leroy Seafood Group,140
recirculating aquaculture system,136
Directorate of Fisheries,119
infectious salmon anemia,119
Aquaculture Stewardship Council,117
Ice Fish Farm,117
farmer Atlantic Sapphire,115
Chilean salmon prices,115
salmon farmer Atlantic,112
Norwegian Seafood Council,106
Land-based salmon farmer,92
Los Lagos region,92
Chilean salmon producers,90
Chilean salmon industry,87
figures from Nasdaq,86
Chilean salmon producer,85
raw material prices,83
Food Safety Authority,82
Mowi Canada West,80
salmon farming sector,79
Norwegian land-based salmon,77
Norwegian Food Safety,76
high salmon prices,74
board of directors,74
salmon per year,72
Norwegian salmon producer,68
Scottish Salmon Producers,68
fair value adjustment,67
Icelandic salmon farmer,65
Department of Fish,64
Silver Bay Seafoods,63
initial public offering,63
Nordic Aqua Partners,63
salmon farmer Huon,62
NZ King Salmon,62
Seafood Investor Forum,62
use of antibiotics,61
land-based salmon project,60
Peter Pan Seafoods,59
CEO Ivan Vindheim,59
farmed salmon prices,59
Norwegian farmed salmon,59
salmon producer AquaBounty,58
salmon farmer SalMar,58
Bristol Bay sockeye,58
land-based salmon production,57
Cargill Aqua Nutrition,57
time last year,56
land-based salmon facility,56
CEO Johan Andreassen,56
land-based salmon producer,56
Ocean Beauty Seafoods,56
percent market share,56
IntraFish sister publication,55
fall in prices,55
sea lice treatment,55
salmon farming project,55
Norwegian salmon giant,55
CEO Andreas Kvame,54
Australian salmon farmer,53
figures from DataSalmon,52
kilo weight class,50
salmon giant Mowi,50
average per kilo,50
IntraFish Seafood Investor,50
popular size category,50
